Date,KW
2019-10-10 06:27:00.000Z,303.3
2019-10-11 06:05:00.000Z,290.9
2019-10-13 20:53:00.000Z,241.2
2019-10-14 05:30:00.000Z,234.9
2019-10-14 16:38:00.000Z,229.9
2019-10-15 05:54:00.000Z,217.7
2019-10-16 05:47:00.000Z,202.6
2019-10-16 19:26:00.000Z,190.8
2019-10-16 19:29:00.000Z,241.5
2019-10-17 16:18:00.000Z,230.1
2019-10-20 14:08:00.000Z,181.2
2019-10-22 05:05:00.000Z,151.7
2019-10-22 17:18:00.000Z,143.9
2019-10-23 19:38:00.000Z,117.3
2019-10-24 08:23:00.000Z,111.7
2019-10-25 04:23:00.000Z,100.1
2019-10-26 05:28:00.000Z,86.7
2019-10-26 15:57:00.000Z,72.4
2019-10-27 08:52:00.000Z,65.3
2019-10-28 05:32:00.000Z,48.3
2019-10-28 05:34:00.000Z,301.6
2019-10-28 19:28:00.000Z,289.4
2019-10-29 05:15:00.000Z,282.9
2019-11-01 07:22:00.000Z,250.5
2019-11-01 21:15:00.000Z,245.1
2019-11-02 14:41:00.000Z,229.7
2019-11-03 20:04:00.000Z,213.0
2019-11-04 05:38:00.000Z,208.4
2019-11-04 14:51:00.000Z,202.5
2019-11-05 05:27:00.000Z,190.7
2019-11-05 21:05:00.000Z,177.6
2019-11-06 05:22:00.000Z,171.3
2019-11-07 16:37:00.000Z,141.4
2019-11-07 21:08:00.000Z,133.4
2019-11-08 06:34:00.000Z,126.9
2019-11-08 14:34:00.000Z,120.8
2019-11-09 14:27:00.000Z,111.6
2019-11-09 20:20:00.000Z,103.1
2019-11-10 05:24:00.000Z,97.3
2019-11-10 12:39:00.000Z,87.8
2019-11-11 13:52:00.000Z,65.8
2019-11-11 16:49:00.000Z,60.9
2019-11-13 05:22:00.000Z,37.0
2019-11-13 21:17:00.000Z,23.0
2019-11-14 02:50:00.000Z,20.3
2019-11-14 05:14:00.000Z,17.6
2019-11-14 05:16:00.000Z,220.5
2019-11-14 08:23:00.000Z,215.4
2019-11-14 13:09:00.000Z,210.8
2019-11-14 15:28:00.000Z,208.7
2019-11-15 05:59:00.000Z,198.5
2019-11-16 10:09:00.000Z,176.9
2019-11-16 11:29:00.000Z,175.1
2019-11-16 14:50:00.000Z,170.0
2019-11-17 10:58:00.000Z,150.9
2019-11-17 20:39:00.000Z,139.9
2019-11-18 05:41:00.000Z,135.3
2019-11-18 07:00:00.000Z,133.1
2019-11-18 16:47:00.000Z,126.2
2019-11-18 21:20:00.000Z,119.3
2019-11-19 05:47:00.000Z,115.6
2019-11-19 19:28:00.000Z,102.9
2019-11-20 05:26:00.000Z,95.5
2019-11-20 16:57:00.000Z,87.0
2019-11-20 20:21:00.000Z,82.2
2019-11-21 06:33:00.000Z,74.3
2019-11-21 09:43:00.000Z,70.5
2019-11-21 10:21:00.000Z,69.4
2019-11-22 05:18:00.000Z,56.2
2019-11-22 20:01:00.000Z,46.8
2019-11-23 06:06:00.000Z,41.8
2019-11-23 10:07:00.000Z,34.8
2019-11-23 17:43:00.000Z,24.4
2019-11-23 17:45:00.000Z,227.4
2019-11-24 07:35:00.000Z,213.8
2019-11-24 14:40:00.000Z,210.8
2019-11-25 05:34:00.000Z,199.9
2019-11-25 16:33:00.000Z,193.9
2019-11-26 05:32:00.000Z,181.7
2019-11-26 14:33:00.000Z,172.6
2019-11-26 23:21:00.000Z,163.6
2019-11-27 05:39:00.000Z,160.7
2019-11-27 17:05:00.000Z,156.8
2019-11-28 00:37:00.000Z,147.6
2019-11-28 05:43:00.000Z,145.1
2019-11-28 22:45:00.000Z,134.8
2019-11-29 05:15:00.000Z,131.8
2019-11-29 16:14:00.000Z,129.0
2019-11-30 12:03:00.000Z,109.9
2019-11-30 14:52:00.000Z,104.0
2019-11-30 22:49:00.000Z,98.3
2019-12-01 08:01:00.000Z,92.9
2019-12-01 19:23:00.000Z,82.1
2019-12-02 05:43:00.000Z,73.7
2019-12-03 05:27:00.000Z,60.6
2019-12-03 13:18:00.000Z,51.0
2019-12-03 17:30:00.000Z,46.3
2019-12-03 22:17:00.000Z,40.4
2019-12-04 05:27:00.000Z,37.6
2019-12-04 20:12:00.000Z,23.8
2019-12-04 22:29:00.000Z,21.6
2019-12-05 00:31:00.000Z,20.7
2019-12-05 05:40:00.000Z,18.1
2019-12-05 18:37:00.000Z,8.9
2019-12-05 18:39:00.000Z,211.9
2019-12-06 06:13:00.000Z,205.5
2019-12-06 21:32:00.000Z,198.2
2019-12-07 12:52:00.000Z,183.4
2019-12-07 13:56:00.000Z,181.9
2019-12-07 20:34:00.000Z,178.7
2019-12-08 08:19:00.000Z,173.7
2019-12-08 20:15:00.000Z,160.8
2019-12-09 05:34:00.000Z,154.4
2019-12-09 11:04:00.000Z,149.9
2019-12-10 03:42:00.000Z,137.7
2019-12-10 06:59:00.000Z,132.9
2019-12-10 15:23:00.000Z,122.5
2019-12-10 20:37:00.000Z,117.1
2019-12-11 05:45:00.000Z,112.9
2019-12-11 18:38:00.000Z,96.0
2019-12-12 15:32:00.000Z,78.0
2019-12-12 20:06:00.000Z,72.3
2019-12-12 22:58:00.000Z,69.0
2019-12-13 05:42:00.000Z,64.1
2019-12-13 16:29:00.000Z,51.2
2019-12-13 21:16:00.000Z,44.6
2019-12-14 07:17:00.000Z,37.9
2019-12-14 15:00:00.000Z,25.6
2019-12-14 21:21:00.000Z,21.5
2019-12-15 03:17:00.000Z,15.6
2019-12-15 09:59:00.000Z,13.5
2019-12-15 10:01:00.000Z,216.5
2019-12-16 15:44:00.000Z,189.1
2019-12-16 19:29:00.000Z,184.9
2019-12-16 21:53:00.000Z,182.8
2019-12-18 06:23:00.000Z,159.5
2019-12-18 15:03:00.000Z,152.2
2019-12-18 20:59:00.000Z,143.0
2019-12-19 07:26:00.000Z,135.9
2019-12-19 21:03:00.000Z,121.6
2019-12-20 01:36:00.000Z,117.9
2019-12-20 07:06:00.000Z,114.1
2019-12-20 12:51:00.000Z,105.5
2019-12-21 20:57:00.000Z,72.4
2019-12-22 04:29:00.000Z,67.3
2019-12-22 13:15:00.000Z,61.2
2019-12-22 17:45:00.000Z,56.5
2019-12-22 21:56:00.000Z,53.1
2019-12-23 06:20:00.000Z,48.2
2019-12-23 13:40:00.000Z,40.5
2019-12-24 01:49:00.000Z,28.3
2019-12-24 07:07:00.000Z,24.9
2019-12-24 15:01:00.000Z,16.0
2019-12-24 17:10:00.000Z,11.4
2019-12-24 19:15:00.000Z,8.9
2019-12-24 19:16:00.000Z,211.8
2019-12-25 05:26:00.000Z,205.5
2019-12-25 12:49:00.000Z,188.2
2019-12-25 21:56:00.000Z,182.0
2019-12-26 09:37:00.000Z,169.8
2019-12-27 04:16:00.000Z,150.0
2019-12-27 17:31:00.000Z,134.7
2019-12-28 05:53:00.000Z,126.4
2019-12-28 11:26:00.000Z,116.7
2019-12-28 22:37:00.000Z,98.1
2019-12-29 05:47:00.000Z,90.5
2019-12-29 19:51:00.000Z,61.1
2019-12-30 03:51:00.000Z,55.6
2019-12-31 04:14:00.000Z,20.4
2019-12-31 20:24:00.000Z,1.6
2019-12-31 20:27:00.000Z,204.3
2020-01-01 10:04:00.000Z,188.7
2020-01-01 21:44:00.000Z,167.6
2020-01-02 09:51:00.000Z,153.5
2020-01-03 09:45:00.000Z,125.0
2020-01-04 05:05:00.000Z,102.4
2020-01-04 06:38:00.000Z,99.7
2020-01-04 10:53:00.000Z,87.9
2020-01-04 12:02:00.000Z,85.3
2020-01-05 06:40:00.000Z,62.9
2020-01-05 08:50:00.000Z,58.3
2020-01-05 14:05:00.000Z,50.0
2020-01-05 18:09:00.000Z,41.8
2020-01-05 20:52:00.000Z,36.1
2020-01-06 05:16:00.000Z,29.4
2020-01-06 05:34:00.000Z,28.6
2020-01-06 05:38:00.000Z,28.2
2020-01-06 05:40:00.000Z,231.2
2020-01-06 18:05:00.000Z,211.5
2020-01-07 05:46:00.000Z,196.2
2020-01-07 16:43:00.000Z,180.9
2020-01-08 05:47:00.000Z,169.1
2020-01-08 16:58:00.000Z,151.9
2020-01-08 21:47:00.000Z,141.5
2020-01-09 06:48:00.000Z,135.5
2020-01-09 07:44:00.000Z,134.1
2020-01-09 12:28:00.000Z,126.4
2020-01-11 05:03:00.000Z,92.8
2020-01-11 07:11:00.000Z,89.8
2020-01-11 14:33:00.000Z,72.3
2020-01-12 06:14:00.000Z,62.1
2020-01-12 15:40:00.000Z,51.6
2020-01-12 19:54:00.000Z,43.8
2020-01-13 05:45:00.000Z,35.7
2020-01-13 16:41:00.000Z,29.7
2020-01-13 20:41:00.000Z,22.9
2020-01-14 00:17:00.000Z,17.5
2020-01-14 05:47:00.000Z,13.4
2020-01-14 16:12:00.000Z,8.0
2020-01-15 05:45:00.000Z,95.8
2020-01-15 16:20:00.000Z,89.6
2020-01-15 18:04:00.000Z,85.0
2020-01-16 05:44:00.000Z,68.9
2020-01-16 12:42:00.000Z,59.4
2020-01-17 04:01:00.000Z,42.9
2020-01-17 15:51:00.000Z,35.6
2020-01-17 20:51:00.000Z,33.5
2020-01-18 08:58:00.000Z,18.5
2020-01-18 09:03:00.000Z,221.5
2020-01-18 21:30:00.000Z,197.3
2020-01-19 08:05:00.000Z,186.5
2020-01-20 05:42:00.000Z,168.3
2020-01-20 16:12:00.000Z,162.9
2020-01-20 21:40:00.000Z,156.4
2020-01-21 04:55:00.000Z,152.1
2020-01-21 19:43:00.000Z,138.4
2020-01-22 05:49:00.000Z,130.9
2020-01-22 15:38:00.000Z,125.5
2020-01-22 20:22:00.000Z,117.3
2020-01-23 05:47:00.000Z,109.9
2020-01-23 16:14:00.000Z,103.6
2020-01-24 06:09:00.000Z,91.1
2020-01-24 19:20:00.000Z,74.6
2020-01-25 05:37:00.000Z,64.2
2020-01-25 08:48:00.000Z,60.7
2020-01-25 14:33:00.000Z,49.1
2020-01-25 23:02:00.000Z,32.5
2020-01-26 07:39:00.000Z,24.7
2020-01-26 10:32:00.000Z,17.1
2020-01-26 11:31:00.000Z,15.2
2020-01-26 14:14:00.000Z,10.7
2020-01-26 14:15:00.000Z,213.7
2020-01-27 05:39:00.000Z,192.7
2020-01-27 15:38:00.000Z,184.4
2020-01-28 05:16:00.000Z,172.5
2020-01-28 15:47:00.000Z,157.7
2020-01-29 04:45:00.000Z,145.9
2020-01-29 16:53:00.000Z,133.4
2020-01-29 22:12:00.000Z,124.3
2020-01-30 06:11:00.000Z,119.7
2020-01-30 10:32:00.000Z,116.6
2020-01-30 15:12:00.000Z,112.1
2020-01-30 18:47:00.000Z,103.9
2020-02-01 05:35:00.000Z,74.0
2020-02-02 07:47:00.000Z,37.4
2020-02-02 13:53:00.000Z,27.3
2020-02-02 15:26:00.000Z,25.0
2020-02-02 20:48:00.000Z,13.4
2020-02-03 05:35:00.000Z,7.3
2020-02-03 05:40:00.000Z,210.3
2020-02-03 15:45:00.000Z,198.6
2020-02-04 04:48:00.000Z,185.1
2020-02-04 11:12:00.000Z,178.1
2020-02-04 20:05:00.000Z,163.3
2020-02-05 12:58:00.000Z,144.2
2020-02-05 17:13:00.000Z,140.2
2020-02-06 04:22:00.000Z,127.8
2020-02-06 16:09:00.000Z,117.4
2020-02-07 05:05:00.000Z,98.1
2020-02-07 10:08:00.000Z,94.6
2020-02-09 15:49:00.000Z,78.4
2020-02-10 04:00:00.000Z,66.2
2020-02-10 05:33:00.000Z,64.9
2020-02-10 18:46:00.000Z,57.8
2020-02-10 23:08:00.000Z,52.3
2020-02-11 04:18:00.000Z,49.2
2020-02-11 16:13:00.000Z,41.5
2020-02-11 21:50:00.000Z,31.9
2020-02-12 06:09:00.000Z,27.0
2020-02-12 21:48:00.000Z,12.7
2020-02-13 05:33:00.000Z,5.6
2020-02-13 05:34:00.000Z,208.6
2020-02-13 14:59:00.000Z,198.3
2020-02-13 22:58:00.000Z,187.8
2020-02-14 04:58:00.000Z,180.3
2020-02-14 17:57:00.000Z,165.9
2020-02-15 06:09:00.000Z,153.2
2020-02-15 08:55:00.000Z,149.6
2020-02-15 08:59:00.000Z,149.3
2020-02-16 12:00:00.000Z,120.2
2020-02-16 15:14:00.000Z,115.8
2020-02-16 17:48:00.000Z,110.2
2020-02-17 04:37:00.000Z,95.6
2020-02-17 16:03:00.000Z,84.3
2020-02-18 00:21:00.000Z,69.4
2020-02-18 06:47:00.000Z,65.9
2020-02-18 14:01:00.000Z,57.8
2020-02-18 19:19:00.000Z,51.2
2020-02-19 06:01:00.000Z,39.5
2020-02-19 16:29:00.000Z,34.6
2020-02-20 04:48:00.000Z,23.9
2020-02-20 05:45:00.000Z,22.4
2020-02-20 20:08:00.000Z,213.6
2020-02-20 23:13:00.000Z,207.0
2020-02-21 04:56:00.000Z,204.5
2020-02-21 16:04:00.000Z,188.3
2020-02-22 05:30:00.000Z,173.5
2020-02-22 15:18:00.000Z,158.7
2020-02-22 18:58:00.000Z,152.8
2020-02-22 23:19:00.000Z,146.5
2020-02-23 08:39:00.000Z,139.1
2020-02-23 16:46:00.000Z,134.3
2020-02-23 21:18:00.000Z,128.2
2020-02-24 05:41:00.000Z,120.9
2020-02-24 09:13:00.000Z,118.4
2020-02-24 17:16:00.000Z,114.3
2020-02-25 04:25:00.000Z,104.6
2020-02-25 16:05:00.000Z,98.8
2020-02-25 20:04:00.000Z,92.5
2020-02-25 21:53:00.000Z,89.2
2020-02-26 04:47:00.000Z,84.3
2020-02-26 19:55:00.000Z,69.3
2020-02-27 04:37:00.000Z,61.5
2020-02-27 16:29:00.000Z,53.9
2020-02-27 23:12:00.000Z,42.9
2020-02-28 04:40:00.000Z,40.7
2020-02-28 15:59:00.000Z,35.6
2020-02-28 20:41:00.000Z,29.7
2020-02-29 05:47:00.000Z,24.6
2020-02-29 10:17:00.000Z,21.8
2020-02-29 16:15:00.000Z,13.9
2020-02-29 17:54:00.000Z,9.6
2020-02-29 17:56:00.000Z,9.4
2020-02-29 17:57:00.000Z,212.4
2020-03-01 16:16:00.000Z,193.5
2020-03-02 04:48:00.000Z,182.6
2020-03-02 16:55:00.000Z,174.3
2020-03-02 19:03:00.000Z,171.9
2020-03-03 04:33:00.000Z,164.0
2020-03-03 11:09:00.000Z,159.5
2020-03-03 16:37:00.000Z,153.4
2020-03-03 19:17:00.000Z,148.6
2020-03-04 04:42:00.000Z,137.5
2020-03-05 04:43:00.000Z,110.1
2020-03-05 12:32:00.000Z,105.7
2020-03-05 17:02:00.000Z,98.4
2020-03-06 04:03:00.000Z,89.0
2020-03-06 20:19:00.000Z,75.2
2020-03-07 05:40:00.000Z,69.1
2020-03-07 07:19:00.000Z,67.8
2020-03-07 13:28:00.000Z,60.1
2020-03-08 06:03:00.000Z,42.5
2020-03-08 13:44:00.000Z,28.9
